team,off_epa_per_play,def_epa_per_play,pts_for_pg,pts_against_pg,scoring_margin,to_margin,third_down_pct,third_down_allowed,rz_td_pct,pass_yards_per_att,rush_yards_per_carry,sacks_allowed_pg,sacks_forced_pg,season
ARI,-0.0248,-0.1021,26.125,22.625,3.5,-4.0,0.416,0.3868,0.2176,6.8818,4.4362,5.125,6.0,2016
ATL,0.1699,0.045,33.75,25.375,8.375,9.0,0.4359,0.4181,0.201,9.2365,4.739,4.625,4.25,2016
BAL,-0.0583,-0.0452,21.4375,20.0625,1.375,8.0,0.3672,0.3304,0.1875,6.4628,4.1577,4.125,3.875,2016
BUF,0.0629,0.0145,24.9375,23.625,1.3125,6.0,0.4087,0.4087,0.2338,6.8856,5.4119,5.75,4.875,2016
CAR,-0.0571,-0.0025,23.0625,25.125,-2.0625,0.0,0.378,0.36,0.1895,7.075,4.0603,4.5,5.875,2016
CHI,-0.0402,0.064,17.4375,24.9375,-7.5,-18.0,0.3586,0.4267,0.2016,7.4309,4.6702,3.5,4.625,2016
CIN,0.0358,0.0004,20.3125,19.6875,0.625,7.0,0.4017,0.4115,0.1824,7.4973,4.0664,5.125,4.125,2016
CLE,-0.0729,0.1305,16.5,28.25,-11.75,-14.0,0.3691,0.4361,0.2018,6.5363,4.9253,8.25,3.25,2016
DAL,0.1187,-0.0039,26.3125,19.125,7.1875,3.0,0.4167,0.3962,0.3095,7.8981,5.0083,3.5,4.5,2016
DEN,-0.0772,-0.1349,20.8125,18.5625,2.25,2.0,0.3522,0.3626,0.1447,6.8787,3.7834,5.0,5.25,2016
DET,0.0422,0.0969,21.625,22.375,-0.75,1.0,0.4384,0.4384,0.188,7.3215,3.8567,4.625,3.25,2016
GB,0.1062,0.0427,27.0,24.25,2.75,9.0,0.4487,0.4018,0.2337,7.1926,4.8101,4.375,5.0,2016
HOU,-0.1009,-0.0856,17.4375,20.5,-3.0625,-7.0,0.3846,0.3846,0.1286,5.8983,4.2302,4.0,3.875,2016
IND,0.0173,0.0653,25.6875,24.5,1.1875,-5.0,0.4509,0.4151,0.2267,7.7431,4.2097,5.5,4.125,2016
JAX,-0.0832,-0.0412,19.875,25.0,-5.125,-14.0,0.3537,0.3673,0.2453,6.27,4.2377,4.25,4.125,2016
KC,0.0123,-0.0297,24.3125,19.4375,4.875,14.0,0.3568,0.418,0.1667,7.1817,4.5102,4.0,3.5,2016
LA,-0.2297,0.0112,14.0,24.625,-10.625,-11.0,0.3262,0.375,0.1604,6.1925,3.4481,6.125,3.875,2016
LAC,-0.0086,-0.028,25.625,26.4375,-0.8125,-7.0,0.417,0.395,0.1844,7.5751,3.8575,4.5,4.375,2016
LV,0.0245,0.0231,26.0,24.0625,1.9375,12.0,0.3821,0.3965,0.2038,6.9646,4.706,2.25,3.125,2016
MIA,0.0028,0.0095,22.6875,23.75,-1.0625,6.0,0.3532,0.39,0.2368,7.8397,4.5725,3.75,4.125,2016
MIN,-0.0571,-0.1131,20.4375,19.1875,1.25,12.0,0.3697,0.3904,0.1589,7.017,3.3351,4.75,5.125,2016
NE,0.1147,-0.0418,27.5625,15.625,11.9375,14.0,0.4781,0.3796,0.2155,8.1166,4.0864,3.0,4.25,2016
NO,0.086,0.0535,29.3125,28.375,0.9375,-1.0,0.4708,0.4245,0.2174,7.9083,4.4506,3.375,3.75,2016
NONE,,,,,,0.0,,,,,,,,2016
NYG,-0.0842,-0.1026,19.375,17.75,1.625,0.0,0.3522,0.3574,0.211,6.7341,3.7585,2.75,4.375,2016
NYJ,-0.0865,0.01,17.1875,25.5625,-8.375,-21.0,0.387,0.4027,0.1319,6.6273,4.3777,4.375,3.375,2016
PHI,-0.0176,-0.0495,22.9375,20.6875,2.25,4.0,0.3658,0.4099,0.1556,6.257,4.2628,4.125,4.25,2016
PIT,0.0725,0.0027,24.9375,20.4375,4.5,1.0,0.4027,0.411,0.2422,7.3936,4.5076,2.625,4.75,2016
SEA,0.0055,-0.0556,22.125,18.25,3.875,1.0,0.3829,0.3814,0.1667,7.8265,4.1628,5.25,5.25,2016
SF,-0.0817,0.0734,19.3125,30.0,-10.6875,-1.0,0.3391,0.4612,0.2564,6.4612,4.4934,5.875,4.125,2016
TB,-0.006,-0.0035,22.125,23.0625,-0.9375,-2.0,0.4435,0.3412,0.1931,7.2059,3.7352,4.375,4.75,2016
TEN,0.0186,0.0333,23.8125,23.625,0.1875,-4.0,0.4487,0.3661,0.2357,7.4549,4.7435,3.5,5.0,2016
WAS,0.0993,0.0712,24.75,23.9375,0.8125,0.0,0.4507,0.464,0.1739,8.1921,4.644,2.875,4.75,2016
ARI,-0.1642,-0.1035,18.4375,22.5625,-4.125,-4.0,0.3682,0.3496,0.1527,6.665,3.5443,6.5,4.625,2017
ATL,0.0355,-0.0156,22.0625,19.6875,2.375,-4.0,0.4486,0.3889,0.1837,7.8672,4.4109,3.0,4.875,2017
BAL,-0.077,-0.1321,24.6875,18.9375,5.75,17.0,0.3651,0.3745,0.1923,5.7358,4.209,3.375,5.125,2017
BUF,-0.0707,0.0003,18.875,22.4375,-3.5625,7.0,0.4252,0.3843,0.1705,6.4662,4.3093,5.875,3.375,2017
CAR,-0.0477,-0.0671,22.6875,20.4375,2.25,1.0,0.428,0.3761,0.1888,6.6513,4.5011,4.375,6.25,2017
CHI,-0.1114,-0.0612,16.5,20.0,-3.5,-2.0,0.3636,0.4198,0.2,6.536,4.299,4.875,5.25,2017
CIN,-0.1146,-0.0497,18.125,21.8125,-3.6875,-5.0,0.3578,0.4211,0.2105,6.6523,3.8552,5.0,5.125,2017
CLE,-0.1676,-0.0094,14.625,25.625,-11.0,-24.0,0.3402,0.4194,0.181,6.1728,4.5,6.25,4.25,2017
DAL,-0.0079,-0.004,22.125,20.75,1.375,-2.0,0.4318,0.433,0.2174,6.7739,4.6047,4.0,4.75,2017
DEN,-0.1298,-0.1095,18.0625,23.875,-5.8125,-13.0,0.3931,0.3217,0.129,6.5035,4.1607,6.5,4.125,2017
DET,-0.061,-0.073,25.625,23.5,2.125,8.0,0.3766,0.3971,0.1926,7.8421,3.4648,5.875,4.375,2017
GB,-0.0446,0.0307,20.0,24.0,-4.0,-3.0,0.4069,0.448,0.2126,6.2959,4.582,6.375,4.625,2017
HOU,-0.0845,-0.0013,21.125,27.25,-6.125,-14.0,0.393,0.3795,0.2035,6.9808,4.1413,6.75,4.0,2017
IND,-0.1209,0.0605,16.4375,25.25,-8.8125,1.0,0.3918,0.4426,0.1391,6.6653,3.7914,7.0,3.125,2017
JAX,0.005,-0.1943,26.0625,16.75,9.3125,10.0,0.3821,0.3444,0.2192,7.0646,4.4492,3.0,6.875,2017
KC,0.0815,0.0018,25.9375,21.1875,4.75,11.0,0.3886,0.4072,0.1544,7.9816,4.8237,4.625,3.875,2017
LA,0.0358,-0.0794,29.875,20.5625,9.3125,11.0,0.4051,0.3792,0.2184,7.7965,4.5425,3.5,6.0,2017
LAC,0.0582,-0.0745,22.1875,17.0,5.1875,12.0,0.3991,0.3911,0.1679,7.833,4.0074,2.25,5.375,2017
LV,-0.0556,0.0613,18.8125,23.3125,-4.5,-16.0,0.393,0.417,0.2088,6.7522,4.3444,3.0,3.875,2017
MIA,-0.1262,0.0239,17.5625,24.5625,-7.0,-14.0,0.3304,0.3836,0.1818,6.3095,3.9575,4.125,3.75,2017
MIN,-0.0074,-0.1612,23.875,15.75,8.125,3.0,0.4458,0.2818,0.2292,7.4554,4.144,3.375,4.625,2017
NE,0.1112,0.0199,28.625,18.5,10.125,4.0,0.4242,0.4027,0.2121,7.8688,4.3949,4.375,5.25,2017
NO,0.0928,-0.0428,28.0,20.375,7.625,9.0,0.3951,0.4087,0.2166,8.1313,4.9271,2.5,5.25,2017
NONE,,,,,,0.0,,,,,,,,2017
NYG,-0.124,-0.0006,15.375,24.25,-8.875,-3.0,0.3333,0.3893,0.1792,6.0626,4.0232,4.375,3.375,2017
NYJ,-0.0753,-0.017,18.625,23.875,-5.25,0.0,0.3629,0.413,0.1942,6.9226,4.1622,5.875,3.5,2017
PHI,0.0345,-0.1332,28.5625,18.4375,10.125,12.0,0.437,0.3362,0.2372,7.0337,4.6659,4.5,4.75,2017
PIT,0.0479,-0.0485,25.375,19.25,6.125,4.0,0.4435,0.362,0.1813,7.7376,4.0671,3.0,7.0,2017
SEA,-0.0264,-0.0958,22.875,20.75,2.125,6.0,0.3729,0.392,0.1969,7.2214,4.1671,5.375,4.875,2017
SF,-0.0447,-0.0049,20.6875,23.9375,-3.25,-3.0,0.3852,0.436,0.1491,7.0116,4.201,5.375,3.75,2017
TB,-0.0058,0.0378,20.9375,23.875,-2.9375,-7.0,0.4384,0.475,0.1745,7.6528,3.7798,5.0,2.75,2017
TEN,-0.1017,-0.048,20.875,22.25,-1.375,-4.0,0.3839,0.3739,0.1826,6.8566,4.293,4.375,5.375,2017
WAS,-0.0659,-0.0406,21.375,24.25,-2.875,2.0,0.3288,0.371,0.1955,7.5937,3.7194,5.125,5.375,2017
ARI,-0.255,0.0192,14.0625,26.5625,-12.5,-12.0,0.2884,0.3733,0.1848,5.8381,3.8851,6.5,6.125,2018
ATL,0.0661,0.0777,25.875,26.4375,-0.5625,-1.0,0.455,0.4796,0.227,8.0341,4.593,5.25,4.625,2018
BAL,0.0058,-0.0786,24.3125,17.9375,6.375,-1.0,0.4406,0.339,0.1893,6.7071,4.6597,4.0,5.375,2018
BUF,-0.157,-0.1042,16.8125,23.375,-6.5625,-1.0,0.3319,0.3641,0.178,6.1285,4.342,5.125,4.5,2018
CAR,0.0497,0.0473,23.5,23.875,-0.375,1.0,0.4203,0.3959,0.2372,7.2826,5.34,4.0,4.375,2018
CHI,0.0199,-0.1409,26.3125,17.6875,8.625,12.0,0.4155,0.3636,0.2569,7.3327,4.337,4.125,6.25,2018
CIN,-0.0147,0.0991,23.0,28.4375,-5.4375,3.0,0.3578,0.4829,0.2602,6.6215,4.7819,4.625,4.25,2018
CLE,-0.0255,0.0002,22.4375,24.5,-2.0625,9.0,0.3632,0.3602,0.2619,7.4754,4.7725,4.75,4.625,2018
DAL,0.0101,-0.0427,21.1875,20.25,0.9375,3.0,0.3983,0.4395,0.169,7.3719,4.6612,7.0,4.875,2018
DEN,-0.0237,-0.0052,20.5625,21.8125,-1.25,3.0,0.35,0.383,0.1953,6.7065,4.9766,4.25,5.5,2018
DET,-0.0499,0.0226,20.25,22.5,-2.25,-9.0,0.3829,0.38,0.1757,6.7086,4.2172,5.125,5.375,2018
GB,0.0446,0.0415,23.5,25.0,-1.5,6.0,0.3547,0.3728,0.224,7.2669,5.1067,6.625,5.5,2018
HOU,0.0031,-0.0681,25.125,19.75,5.375,9.0,0.3793,0.381,0.1962,8.33,4.3961,7.75,5.375,2018
IND,0.057,-0.035,27.0625,21.5,5.5625,0.0,0.4874,0.3991,0.2556,7.1573,4.5207,2.25,4.75,2018
JAX,-0.1239,-0.0433,15.3125,19.75,-4.4375,-14.0,0.3943,0.375,0.1364,6.4011,4.2171,6.625,4.625,2018
KC,0.2331,0.049,35.3125,26.3125,9.0,7.0,0.4455,0.4306,0.2772,8.8076,4.9707,3.25,6.5,2018
LA,0.1352,-0.0076,32.9375,24.0,8.9375,13.0,0.4384,0.395,0.2201,8.3569,5.1293,4.125,5.125,2018
LAC,0.1191,-0.0226,26.75,20.5625,6.1875,5.0,0.385,0.4017,0.2571,8.4297,4.8938,4.25,4.75,2018
LV,-0.0583,0.1325,18.125,29.1875,-11.0625,-7.0,0.3653,0.4475,0.1716,7.3898,4.3617,6.5,1.625,2018
MIA,-0.1107,0.04,19.9375,27.0625,-7.125,1.0,0.302,0.4608,0.2078,7.3046,4.8583,6.5,3.875,2018
MIN,-0.0891,-0.1251,22.5,21.3125,1.1875,-2.0,0.3689,0.3211,0.1985,7.1277,4.3161,5.0,6.25,2018
NE,0.0749,-0.04,27.25,20.3125,6.9375,12.0,0.4213,0.3894,0.1813,7.701,4.4869,2.625,3.75,2018
NO,0.1209,-0.0157,31.5,22.0625,9.4375,8.0,0.4673,0.4314,0.2254,8.0424,4.5689,2.5,6.125,2018
NONE,,,,,,0.0,,,,,,,,2018
NYG,0.0167,0.0578,23.0625,25.75,-2.6875,6.0,0.371,0.412,0.1667,7.5687,4.7236,5.875,3.75,2018
NYJ,-0.1324,0.023,20.8125,27.5625,-6.75,-8.0,0.3304,0.3578,0.1739,6.5211,4.1005,4.625,4.875,2018
PHI,0.0322,0.0261,22.9375,21.75,1.1875,-6.0,0.4045,0.3581,0.1908,7.6034,4.0639,5.0,5.5,2018
PIT,0.0961,0.0234,26.75,22.5,4.25,-11.0,0.4439,0.354,0.24,7.5423,4.4169,3.0,6.5,2018
SEA,0.0822,-0.0212,26.75,21.6875,5.0625,13.0,0.4035,0.345,0.2635,8.2291,4.9788,6.375,5.375,2018
SF,-0.0491,0.0449,21.375,27.1875,-5.8125,-23.0,0.3871,0.4034,0.1273,8.0436,4.6416,6.0,4.625,2018
TB,0.0379,0.0957,24.75,29.0,-4.25,-22.0,0.4742,0.3889,0.2143,8.5865,4.0316,5.125,4.75,2018
TEN,-0.0342,-0.0107,19.375,18.9375,0.4375,1.0,0.4035,0.3653,0.169,7.4485,4.5663,5.875,4.875,2018
WAS,-0.0748,0.0144,17.5625,22.4375,-4.875,5.0,0.3489,0.4299,0.2018,6.5348,4.3784,5.5,5.75,2018
ARI,-0.0056,0.0804,22.5625,27.625,-5.0625,-3.0,0.3578,0.4635,0.1849,6.9036,5.213,6.25,5.0,2019
ATL,-0.0033,0.0375,23.8125,24.9375,-1.125,-3.0,0.4615,0.3972,0.1941,7.4141,3.9117,6.25,3.5,2019
BAL,0.1893,-0.1214,33.1875,17.625,15.5625,10.0,0.46,0.3868,0.2473,7.6484,5.7843,3.5,4.625,2019
BUF,-0.0365,-0.0924,19.625,16.1875,3.4375,2.0,0.3504,0.3568,0.1898,6.8291,4.5673,5.0,5.5,2019
CAR,-0.0928,0.0502,21.25,29.375,-8.125,-12.0,0.3349,0.3973,0.1883,6.5515,4.7801,7.25,6.625,2019
CHI,-0.0924,-0.0608,17.5,18.625,-1.125,0.0,0.3814,0.3696,0.1905,6.1924,3.7635,5.625,4.0,2019
CIN,-0.1111,0.0925,17.4375,26.25,-8.8125,-10.0,0.3719,0.4148,0.1528,6.5583,4.0503,6.0,3.875,2019
CLE,-0.0483,0.0171,20.9375,24.5625,-3.625,-6.0,0.3779,0.4018,0.1859,7.1639,4.9276,5.125,4.75,2019
DAL,0.1191,-0.0471,27.125,20.0625,7.0625,-1.0,0.4706,0.3632,0.2177,8.2248,4.9205,2.875,4.875,2019
DEN,-0.0733,-0.0181,17.625,19.75,-2.125,-1.0,0.3379,0.375,0.1389,6.7614,4.1955,5.125,5.0,2019
DET,-0.0436,0.053,21.3125,26.4375,-5.125,-5.0,0.3875,0.4615,0.1984,7.3845,4.1554,5.375,3.5,2019
GB,0.0348,-0.0266,23.5,19.5625,3.9375,14.0,0.3921,0.3803,0.234,7.0227,4.6864,4.5,5.125,2019
HOU,0.0537,0.0633,23.625,24.0625,-0.4375,2.0,0.4241,0.4795,0.2446,7.6748,4.7754,6.125,3.875,2019
IND,-0.0075,-0.0041,22.5625,23.3125,-0.75,2.0,0.443,0.4201,0.2222,6.498,4.6958,4.0,5.125,2019
JAX,-0.058,0.0588,18.75,24.8125,-6.0625,-5.0,0.3417,0.4048,0.1333,6.8418,4.5503,5.25,5.875,2019
KC,0.1129,-0.0133,28.1875,19.25,8.9375,8.0,0.4727,0.375,0.1748,8.1565,4.415,3.125,5.625,2019
LA,0.0002,-0.0449,24.625,22.75,1.875,-2.0,0.3974,0.3859,0.2262,7.3994,3.8721,2.75,6.25,2019
LAC,0.0184,0.0288,21.0625,21.5625,-0.5,-13.0,0.4313,0.4554,0.183,7.8249,4.0782,4.25,3.75,2019
LV,0.0443,0.0954,19.5625,26.1875,-6.625,-3.0,0.4292,0.4266,0.1905,7.8887,4.4186,3.625,4.0,2019
MIA,-0.1033,0.1203,19.125,30.875,-11.75,-8.0,0.3761,0.4306,0.1986,6.7271,3.4471,7.25,2.875,2019
MIN,0.0477,-0.0849,25.4375,18.9375,6.5,11.0,0.4571,0.4076,0.2138,8.0021,4.645,3.5,6.0,2019
NE,-0.0169,-0.2275,26.25,14.0625,12.1875,17.0,0.3968,0.2511,0.1746,6.6984,3.9792,3.5,5.875,2019
NO,0.0811,-0.0648,28.625,21.3125,7.3125,15.0,0.4028,0.387,0.2099,7.6927,4.5426,3.125,6.375,2019
NONE,,,,,,0.0,,,,,,,,2019
NYG,-0.074,0.0461,21.3125,28.1875,-6.875,-17.0,0.3863,0.4008,0.1765,6.7051,4.7339,5.375,4.5,2019
NYJ,-0.1578,-0.0496,17.25,22.4375,-5.1875,-5.0,0.3234,0.4113,0.19,6.6339,3.4378,6.5,4.375,2019
PHI,-0.0162,-0.0409,24.0625,22.125,1.9375,1.0,0.4502,0.3575,0.2156,6.6498,4.3669,4.625,5.375,2019
PIT,-0.1851,-0.1441,18.0625,18.9375,-0.875,8.0,0.3624,0.3744,0.1239,6.302,3.8425,4.0,6.75,2019
SEA,0.0078,0.0129,25.3125,24.875,0.4375,8.0,0.3829,0.3857,0.2289,7.9961,4.743,6.0,3.5,2019
SF,0.0527,-0.1553,29.9375,19.375,10.5625,0.0,0.4493,0.3581,0.2073,8.4643,4.8518,4.5,6.0,2019
TB,-0.0152,-0.0858,28.625,28.0625,0.5625,-13.0,0.4034,0.3455,0.2553,8.164,3.9086,5.875,5.875,2019
TEN,0.0571,-0.0311,25.125,20.6875,4.4375,8.0,0.3636,0.3665,0.2857,8.93,5.2383,7.0,5.375,2019
WAS,-0.1444,0.0875,16.625,27.1875,-10.5625,1.0,0.2995,0.4793,0.16,6.7332,4.5114,6.25,5.75,2019
ARI,0.0332,0.0031,25.625,22.9375,2.6875,-4.0,0.3843,0.3911,0.2209,7.2346,4.8021,3.625,6.0,2020
ATL,0.0165,0.052,24.75,25.875,-1.125,3.0,0.4542,0.4258,0.1722,7.3802,3.8794,5.125,3.625,2020
BAL,0.1085,-0.0634,29.25,18.9375,10.3125,2.0,0.4622,0.3349,0.2308,7.2432,5.6832,4.0,4.875,2020
BUF,0.1417,0.0153,31.3125,23.4375,7.875,6.0,0.4906,0.401,0.2316,8.0302,4.5666,3.375,4.75,2020
CAR,1e-04,0.0666,21.875,25.125,-3.25,-3.0,0.3953,0.4955,0.1747,7.5347,4.3308,4.5,3.625,2020
CHI,-0.0338,-0.0033,23.25,23.125,0.125,-6.0,0.3423,0.3778,0.1834,6.4239,4.3229,4.5,4.375,2020
CIN,-0.0495,0.0847,19.4375,26.5,-7.0625,-5.0,0.3463,0.4204,0.1699,6.5737,4.1485,6.0,2.125,2020
CLE,0.0738,0.0738,25.5,26.1875,-0.6875,5.0,0.445,0.4252,0.2395,7.4617,4.9667,3.25,4.75,2020
DAL,-0.0413,0.0537,24.6875,29.5625,-4.875,-5.0,0.3991,0.4784,0.1716,7.0928,4.1935,5.5,3.875,2020
DEN,-0.1092,0.0329,20.1875,27.875,-7.6875,-18.0,0.4181,0.3992,0.216,6.63,4.5,4.0,5.25,2020
DET,-0.008,0.1814,23.5625,32.4375,-8.875,-7.0,0.4159,0.481,0.2353,7.6736,4.1602,5.25,3.0,2020
GB,0.1982,0.0178,31.8125,23.0625,8.75,9.0,0.5176,0.402,0.2927,8.2199,5.0448,2.625,5.125,2020
HOU,0.0946,0.1534,24.0,29.0,-5.0,-5.0,0.4135,0.4793,0.1879,8.9026,4.4192,6.25,4.25,2020
IND,0.0641,-0.035,28.1875,22.625,5.5625,10.0,0.4074,0.4182,0.1955,7.6248,4.5923,2.625,5.0,2020
JAX,-0.0588,0.1241,19.125,30.75,-11.625,-8.0,0.3973,0.448,0.2171,6.4519,4.5387,5.5,2.25,2020
KC,0.1725,0.0386,29.5625,22.625,6.9375,8.0,0.4537,0.4143,0.2378,7.9571,4.7124,3.0,4.0,2020
LA,-0.0235,-0.1802,23.25,18.5,4.75,1.0,0.4298,0.36,0.2112,7.1139,4.4627,3.125,6.625,2020
LAC,0.0193,0.018,24.0,26.625,-2.625,3.0,0.4625,0.435,0.1808,7.3002,3.9234,4.25,3.375,2020
LV,0.0398,0.1225,27.125,29.875,-2.75,-13.0,0.4722,0.4846,0.1737,8.0275,4.2895,3.5,2.625,2020
